#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
-4667.616916,1000,1815.125799
-3997.24052,1000,1817.225829
-3914.915784,1000,1822.788676
-6113.123611,1000,1825.119426
-5607.249444,1000,1830.411865
-4423.037012,1000,1832.45379
-4409.031113,1000,1837.63856
-1994.195166,1000,1839.861829
-5484.512718,1000,1845.276853
-2529.510779,1000,1847.314497
-3327.235134,1000,1853.684507
-5720,1000,1856.022823
-5477.649748,1000,1858.096822
-5087.34371,1000,1863.941759
-3784.468467,1000,1866.012049
-6707.24052,1000,1871.966806
-3776.091638,1000,1874.001805
-3928.226083,1000,1879.929821
-6941.705401,1000,1881.862256
-2945.656191,1000,1888.228466
-3651.702701,1000,1890.311763
-2995.85,1000,1896.361415
-3478.933333,1000,1898.484958
-5580.5,1000,1904.33152
-5620,1000,1906.227056
-4931.74545,1000,1912.251547
-5745.85,1000,1914.424838
-3773.095913,1000,1920.656797
-5695.860779,1000,1922.641797
-5709.873055,1000,1928.541814
-6054.593154,1000,1930.544811
-4855.852701,1000,1936.38657
-5083.327632,1000,1938.335167
-3991.277446,1000,1944.20665
-4181.721559,1000,1946.497826
-4495.852701,1000,1952.289552
-4260.336433,1000,1954.451525
-3235.852701,1000,1960.111861
-4670,1000,1962.108861
-4453.789964,1000,1967.99648
-5295.85,1000,1970.071799
-6851.7,1000,1976.102815
-4493.110224,1000,1978.385884
-4050,1000,1984.232292
-4810,1000,1986.210874
-5776.015564,1000,1992.154821
-4423.083333,1000,1994.27582
-5534.033333,1000,2000.085859
-4770,1000,2002.046859
-7027.249444,1000,2008.262501
-4417.669032,1000,2010.411822
-4121.734946,1000,2016.35082
-6697.575967,1000,2018.323892
-4050,1000,2024.261914
-3325.860779,1000,2026.295962
-5160.25,1000,2028.228091
-5370,1000,2034.354245
-6877.556302,1000,2036.769305
-2816.634632,1000,2042.809833
-5768.948614,1000,2044.754835
-3154.132222,1000,2050.730483
-5310,1000,2052.792589
-3837.233333,1000,2058.747804
-5675.85,1000,2060.755821
-4837.233333,1000,2067.012791
-4543.101299,1000,2069.385827
-4921.266667,1000,2075.382749
-6583.333333,1000,2077.314829
-3957.235134,1000,2083.187847
-5910,1000,2085.136853
-3676.936034,1000,2091.509898
-3425.59052,1000,2093.445896
-5202.018467,1000,2099.883785
-5114.470268,1000,2101.864825
-3773.114686,1000,2107.987004
-4332.741629,1000,2109.964434
-4657.87927,1000,2116.164821
-5452.983333,1000,2118.369787
-6434.468467,1000,2124.755912
-2835.852701,1000,2126.968907
-5278.937835,1000,2133.064152
-4970,1000,2134.957804
-3985.85,1000,2141.09382
-3404.858557,1000,2143.159818
-4730.337279,1000,2149.500865
-6170,1000,2151.871864
-5407.24052,1000,2158.241
-3320.327446,1000,2160.245424
-3377.557202,1000,2166.673058
-4877.619766,1000,2168.638489
-4138.69971,1000,2174.380983
-6713.232315,1000,2176.268983
-4720,1000,2181.512903
-4955.852701,1000,2183.435958
-4214.6042,1000,2189.012699
-4730.321168,1000,2191.076796
-6405.85,1000,2196.078798
-2818.936034,1000,2198.242812
-4191.433333,1000,2200.167823
-4921.687299,1000,2205.734888
-6843.256084,1000,2207.64213
-3765.852701,1000,2213.55593
-4672.4018,1000,2215.967368
-5534.788735,1000,2221.786823
-3175.916377,1000,2223.694835
-4425.852701,1000,2229.276834
-7824.3,1000,2231.186835
-4418.983467,1000,2236.739919
-3773.086034,1000,2238.699921
-3904.470268,1000,2243.995952
-4854.482778,1000,2246.214634
-5043.151751,1000,2251.493893
-4446.183748,1000,2253.490803
-4925.852701,1000,2258.549915
-2787.24052,1000,2260.575916
-5450,1000,2265.541528
-4597.235134,1000,2267.503856
-2437.233333,1000,2272.912751
-6237.235134,1000,2275.10885
-3919.733333,1000,2280.245811
-4415.860779,1000,2282.230815
-4188.962078,1000,2287.344838
-3480,1000,2289.286839
-6233.9,1000,2294.409958
-6061.705401,1000,2296.421969
-5317.55,1000,2301.562833
-2935.935134,1000,2303.56483
-5585.860779,1000,2308.856833
-3950.316667,1000,2310.806833
-4181.702701,1000,2315.84187
-5043.114686,1000,2317.837869
-3510.317567,1000,2323.001921
-5504.475653,1000,2325.005924
-3514.183333,1000,2330.218862
-4578.353601,1000,2332.248861
-4703.083333,1000,2337.662864
-3307.233333,1000,2339.52186
-5163.1075,1000,2344.601862
-3257.249444,1000,2346.657576
-4017.57426,1000,2351.576991
-4123.085134,1000,2353.86799
-4231.316667,1000,2356.061793
-5014.831666,1000,2361.252951
-4753.14052,1000,2363.21395
-4015.860779,1000,2368.657951
-4555.85,1000,2370.645984
-4605.290723,1000,2375.730569
-4945.85,1000,2377.687802
-6081.710779,1000,2382.730804
-4926.982778,1000,2384.711803
-3637.235134,1000,2389.934818
-4488.752701,1000,2391.853822
-6633.469892,1000,2397.357852
-4794.783333,1000,2399.361871
-4192.938079,1000,2404.460891
-4079.822968,1000,2406.654978
-3769.258102,1000,2411.872814
-4020,1000,2413.837813
-5125.852701,1000,2418.919128
-5233.154582,1000,2420.996826
-4855.85,1000,2426.393257
-7060.351589,1000,2428.410563
-6885.860779,1000,2433.378851
-2686.166667,1000,2435.567857
-5291.916667,1000,2440.649853
-3143.425152,1000,2442.670851
-3629.203403,1000,2447.877795
-4007.235134,1000,2450.032898
-3315.860779,1000,2455.917826
-4735.892749,1000,2458.183827
-4650.707518,1000,2463.433824
-5192.347706,1000,2465.508949
-5567.261833,1000,2470.565966
-4370,1000,2472.528738
-5331.7,1000,2477.769895
-4833.086034,1000,2479.731895
-4830,1000,2485.069943
-4607.249444,1000,2487.167943
-6038.994894,1000,2492.246958
-5182.016667,1000,2494.288002
-5129.007283,1000,2499.312181
-4367.55,1000,2501.339448
-4980.325653,1000,2506.448672
-6167.277585,1000,2508.40182
-4238.370612,1000,2510.50211
-6829.271648,1000,2515.854806
-4253.894113,1000,2518.029743
-3591.7,1000,2523.563812
-4925.0,1000,2525.581847
-6317.235134,1000,2530.647861
-4917.560779,1000,2532.652943
-4549.004452,1000,2537.950974
-4124.403705,1000,2539.922015
-2795.874166,1000,2545.448193
-5695.075115,1000,2547.566862
-2990,1000,2552.947011
-3425.246813,1000,2555.047738
-6116.181055,1000,2560.147964
-4721.05,1000,2562.089964
-5446.65086,1000,2567.275963
-4054.812901,1000,2569.226964
-4295.85,1000,2574.511018
-5431.952701,1000,2576.647476
-4535.852701,1000,2581.789474
-5948.944113,1000,2583.813473
-4794.475653,1000,2589.093854
-6277.233333,1000,2591.108948
-5715.849444,1000,2596.368996
-2405.874166,1000,2598.423015
-5233.468045,1000,2603.849919
-3113.083333,1000,2606.2191
-4982.605401,1000,2611.318597
-5413.095913,1000,2613.355706
-4123.14971,1000,2618.636992
-4293.181353,1000,2621.676992
-5623.083333,1000,2628.780805
-5717.233333,1000,2631.3279
-4684.793236,1000,2637.88893
-6153.09052,1000,2640.068948
-5745.852701,1000,2645.25395
-5647.233333,1000,2647.374948
-5138.956693,1000,2652.488848
-6860,1000,2654.45585
-3221.753529,1000,2660.06885
-4314.470268,1000,2662.058847
-2987.249444,1000,2668.089849
-4217.619617,1000,2670.264848
-6860,1000,2672.22906
-3157.609112,1000,2678.220039
-4603.585134,1000,2680.199478
-4464.489964,1000,2685.981516
-4385.874166,1000,2687.962744
-5148.938735,1000,2694.081858
-6916.186379,1000,2696.325858
-5416.175669,1000,2702.166561
-3640.373055,1000,2704.257563
-6037.555401,1000,2710.33284
-3074.801299,1000,2712.321839
-4346.179254,1000,2718.278894
-3993.038735,1000,2720.275915
-3075.85,1000,2726.525864
-5301.721559,1000,2728.415868
-4530.341819,1000,2734.300864
-4747.55,1000,2736.289863
-4553.133333,1000,2742.21495
-5327.233333,1000,2744.181948
-3534.812078,1000,2750.35895
-4423.095913,1000,2752.52995
-5428.954892,1000,2758.879951
-3847.249444,1000,2760.896961
-4583.087835,1000,2766.705981
-5528.960201,1000,2768.724942
-5574.516667,1000,2774.641425
-4673.09052,1000,2776.60698
-4010,1000,2782.405008
-2791.7018,1000,2784.625289
-4235.85,1000,2790.655945
-7920,1000,2792.637948
-4816.166667,1000,2798.559963
-4435.85,1000,2800.543965
-4733.083333,1000,2806.394849
-3883.09052,1000,2808.426847
-6540,1000,2814.390848
-5671.702701,1000,2816.586846
-4750,1000,2822.44285
-2581.266667,1000,2824.632879
-4754.466667,1000,2830.523922
-4866.35,1000,2832.753922
-5388.937835,1000,2834.838923
-6710,1000,2840.649922
-3343.083333,1000,2842.747921
-6186.180147,1000,2848.886938
-3304.783333,1000,2850.84184
-3891.7,1000,2856.822877
-4511.714373,1000,2858.987497
-3907.55,1000,2864.863511
-3124.377454,1000,2866.96251
-4315.85,1000,2873.10451
-3353.083333,1000,2875.581223
-4878.716667,1000,2881.525847
-6220,1000,2883.61395
-3145.85,1000,2889.542864
-3650.166667,1000,2891.980863
-4700.4,1000,2897.994532
-4380,1000,2899.934535
-3264.466667,1000,2906.24066
-3379.923853,1000,2908.370844
-3095.85,1000,2914.472874
-2893.083333,1000,2916.684902
-4581.7,1000,2922.641928
-4180.964404,1000,2924.706926
-3600.316667,1000,2930.753989
-4413.083333,1000,2932.72999
-3745.85,1000,2939.076989
-3896.483333,1000,2941.153023
-4163.083333,1000,2947.081062
-2951.7,1000,2949.261806
-4544.516667,1000,2955.379109
-4526.487835,1000,2957.457109
-4721.705401,1000,2963.401159
-4673.087835,1000,2965.794161
-3716.181055,1000,2971.892823
-4194.133333,1000,2973.926825
-6460,1000,2979.908061
-6150,1000,2981.918096
-4914.466667,1000,2987.978094
-4360.318467,1000,2990.10146
-4706.85,1000,2996.682052
-3977.233333,1000,2998.754087
-3777.235134,1000,3004.766087
-3673.083333,1000,3006.75911
-4017.235134,1000,3008.649076
-3986.166667,1000,3014.825763
-5953.083333,1000,3016.940171
-3630,1000,3023.113677
-4204.783333,1000,3025.467847
-4416.166667,1000,3031.674884
-4943.410803,1000,3033.735885
-3786.35,1000,3039.854105
-3737.233333,1000,3041.750469
-5555.852701,1000,3047.97285
-6108.976312,1000,3050.327158
-5983.085134,1000,3057.30492
-1991.705401,1000,3059.369001
-2997.235134,1000,3065.563917
-5363.511827,1000,3067.654922
-5170.322968,1000,3073.893901
-5185.85,1000,3075.921901
-3621.702701,1000,3082.119032
-6435.860779,1000,3084.089036
-4657.233333,1000,3090.709045
-3872.187835,1000,3092.780045
-5428.12837,1000,3099.178075
-2998.960201,1000,3101.328422
-4689.855169,1000,3107.81052
-6818.566667,1000,3109.858524
-4265.874166,1000,3116.420602
-4240.9018,1000,3118.421787
-4723.104838,1000,3124.56985
-5955.852701,1000,3126.587881
-5778.241732,1000,3132.884923
-4256.175669,1000,3134.894923
-5530.152701,1000,3141.080956
-4265.254,1000,3143.143956
-4060.337279,1000,3149.727955
-3994.466667,1000,3151.753954
-3923.087835,1000,3158.035969
-4420.316667,1000,3160.113968
-6351.719712,1000,3166.512019
-5080.240833,1000,3168.472018
-6408.997777,1000,3175.017048
-5853.086034,1000,3177.024049
-3590.365,1000,3183.31101
-4775.85,1000,3185.554949
-2387.233333,1000,3188.203953
-2940,1000,3195.035941
-5173.083333,1000,3197.084944
-5007.382778,1000,3203.473911
-3767.560779,1000,3205.891962
-3990,1000,3212.089896
-4485.95,1000,3214.116894
-4653.09052,1000,3220.318994
-6857.926765,1000,3222.413996
-4374.468467,1000,3228.830055
-4673.083333,1000,3230.953058
-6943.086034,1000,3237.398093
-2545.860779,1000,3239.295093
-5485.852701,1000,3245.619138
-5297.233333,1000,3247.67314
-3735.85,1000,3254.117126
-7170.421559,1000,3256.040156
-4683.086034,1000,3262.371463
-5834.482778,1000,3264.684029
-4937.235134,1000,3273.905163
-3504.470268,1000,3277.664685
-5727.233333,1000,3286.78069
-5117.233333,1000,3291.184686
-7890,1000,3299.054679
-4965.85,1000,3302.175058
-5118.933333,1000,3309.15897
-5638.933333,1000,3312.280507
-6568.435134,1000,3324.627509
-4685.85,1000,3328.264507
-3707.233333,1000,3338.912669
-3751.95,1000,3343.734838
-4865.85,1000,3355.335839
-5080,1000,3359.816838
-2805.85,1000,3368.682879
-5920,1000,3371.27988
-5187.554501,1000,3380.371788
-6424.383333,1000,3382.499823
-3609.75,1000,3390.169798
-7164.2,1000,3392.471247
-3806.166667,1000,3399.29623
-4005.85,1000,3401.559229
-4047.233333,1000,3408.301229
-6076.416667,1000,3410.487231
-5211.7,1000,3412.492828
-5943.4,1000,3419.266822
-4095.85,1000,3421.327827
-4102.983333,1000,3427.759837
-4664.783333,1000,3429.813854
-4530,1000,3436.310952
-6728.933333,1000,3438.355956
-5385.85,1000,3445.098619
-3861.7,1000,3447.295616
-6917.55,1000,3453.686025
-2762.016667,1000,3455.764218
-4671.7,1000,3462.377297
-5293.083333,1000,3464.375267
-4671.7,1000,3471.223805
-4125.85,1000,3473.202804
-4858.933333,1000,3480.157366
-4283.083333,1000,3482.180963
-3617.233333,1000,3489.018962
-5137.233333,1000,3490.992979
-4417.235134,1000,3497.625073
-5866.483333,1000,3499.856073
-4500.25,1000,3506.956071
-4748.616667,1000,3508.975092
-3165.85,1000,3515.787108
-4723.083333,1000,3517.825109
-5381.7,1000,3524.583107
-3781.7,1000,3526.62412
-7027.233333,1000,3533.624505
-5070,1000,3536.039506
-6680,1000,3545.389009
-4598.936034,1000,3548.701535
-4750,1000,3561.567537
-4125.85,1000,3565.944185
-3598.916667,1000,3576.398787
-4107.55,1000,3579.179787
-5140,1000,3588.529837
-6221.35,1000,3591.446872
-4932.783333,1000,3601.328483
-4653.083333,1000,3604.217486
-4711.0,1000,3613.698485
-1647.233333,1000,3616.59748
-4658.933333,1000,3628.019482
-5127.55,1000,3631.132483
-1635.85,1000,3634.138482
-5515.85,1000,3644.009483
-6427.233333,1000,3648.930483
-6884.466667,1000,3661.825732
-4151.7,1000,3666.442731
-4493.4,1000,3675.72073
-4935.233333,1000,3678.173729
-4491.7,1000,3687.149731
-3464.466667,1000,3689.681731
-5114.783333,1000,3697.886731
-4663.083333,1000,3700.32374
-4398.933333,1000,3708.583731
-4714.466667,1000,3710.96573
-4248.933333,1000,3719.915732
-3257.233333,1000,3722.388731
-5341.95,1000,3730.622732
-4267.233333,1000,3733.050729
-4210.316667,1000,3741.328731
-3511.7,1000,3743.703731
-4178.933333,1000,3752.50273
-5000.319367,1000,3754.81873
-2549.05,1000,3763.211728
-881.7,1000,3765.908731
-3993.083333,1000,3774.700731
-3723.083333,1000,3777.364729
-4885.85,1000,3785.993338
-4080,1000,3788.376337
-3541.7,1000,3796.939338
-4541.7,1000,3799.314338
-2792.15,1000,3808.256865
-4378.933333,1000,3810.614866
-5743.083333,1000,3818.954866
-4530.633333,1000,3821.258865
-4110,1000,3829.839863
-3791.7,1000,3832.103866
-6494.783333,1000,3840.904864
-3775.85,1000,3843.389864
-3818.933333,1000,3852.016864
-5070.766667,1000,3854.346864
-5240.316667,1000,3862.871864
-4934.466667,1000,3865.750866
-3955.85,1000,3874.646908
-3995.85,1000,3877.248909
-4634.783333,1000,3879.973434
-3228.935134,1000,3891.187852
-5491.7,1000,3893.582855
-4509.033333,1000,3902.792898
-3350,1000,3905.311376
-6674.033333,1000,3914.632637
-3250.75,1000,3917.363642
-4080.05,1000,3926.40064
-5495.85,1000,3928.797639
-5001.7,1000,3937.37964
-4527.55,1000,3939.711221
-4177.233333,1000,3948.297219
-4140,1000,3950.909218
-3603.086034,1000,3959.75522
-2020,1000,3962.40922
-6708.933333,1000,3970.935222
-3673.3,1000,3973.295218
-4945.85,1000,3981.848217
-5825.85,1000,3984.217218
